DimEmployee_EmployeeKey,DimEmployee_EmployeeNationalIDAlternateKey,DimEmployee_SalesTerritoryKey,DimEmployee_FirstName,DimEmployee_LastName,DimEmployee_MiddleName,DimEmployee_Title,DimEmployee_HireDate,DimEmployee_BirthDate,DimEmployee_EmailAddress,DimEmployee_Phone,DimEmployee_MaritalStatus,DimEmployee_SalariedFlag,DimEmployee_Gender,DimEmployee_BaseRate,DimEmployee_CurrentFlag,DimEmployee_SalesPersonFlag,DimEmployee_DepartmentName,DimEmployee_StartDate,DimEmployee_EndDateKey,DimEmployee_Status
24,835460180,11,Stuart,Munson,V,Production Technician - WC45,1/3/2007 0:00,10/14/1956 0:00,stuart0@adventureworks.com,413-555-0136,S,0,M,10,1,0,Production,1/3/2007 0:00,,Current
25,687685941,11,Greg,Alderson,F,Production Technician - WC45,1/3/2007 0:00,11/18/1964 0:00,greg0@adventureworks.com,332-555-0150,S,0,M,10,1,0,Production,1/3/2007 0:00,,Current
26,498138869,11,David,Johnson,N,Production Technician - WC30,1/3/2007 0:00,12/3/1973 0:00,david1@adventureworks.com,166-555-0162,S,0,M,9.5,1,0,Production,1/3/2007 0:00,,Current
27,360868122,11,Zheng,Mu,W,Production Supervisor - WC10,1/4/2007 0:00,11/26/1977 0:00,zheng0@adventureworks.com,113-555-0173,S,0,M,25,1,0,Production,1/4/2007 0:00,,Current
28,964089218,11,Ivo,Salmre,William,Production Technician - WC20,1/5/2007 0:00,2/4/1976 0:00,ivo0@adventureworks.com,115-555-0179,M,0,M,14,1,0,Production,1/5/2007 0:00,,Current
29,384162788,11,Paul,Komosinski,B,Production Technician - WC40,1/5/2007 0:00,12/15/1974 0:00,paul0@adventureworks.com,147-555-0160,S,0,M,15,1,0,Production,1/5/2007 0:00,,Current
30,749389530,11,Ashvini,Sharma,R,Network Administrator,1/5/2007 0:00,4/28/1971 0:00,ashvini0@adventureworks.com,656-555-0119,S,0,M,32.4519,1,0,Information Services,1/5/2007 0:00,,Current
31,571658797,11,Kendall,Keil,C,Production Technician - WC50,1/6/2007 0:00,6/30/1980 0:00,kendall0@adventureworks.com,138-555-0128,M,0,M,11,1,0,Production,1/6/2007 0:00,,Current
32,535145551,11,Paula,Barreto de Mattos,M,Human Resources Manager,1/7/2007 0:00,3/14/1970 0:00,paula0@adventureworks.com,523-555-0175,M,1,F,27.1394,1,0,Human Resources,1/7/2007 0:00,,Current
33,761597760,11,Alejandro,McGuel,E,Production Technician - WC40,1/7/2007 0:00,1/6/1983 0:00,alejandro0@adventureworks.com,668-555-0130,S,0,M,15,1,0,Production,1/7/2007 0:00,,Current
34,271438431,11,Garrett,Young,R,Production Technician - WC30,1/8/2007 0:00,9/26/1978 0:00,garrett0@adventureworks.com,609-555-0179,S,0,M,9.5,1,0,Production,1/8/2007 0:00,,Current
35,160739235,11,Jian Shuo,Wang,,Production Technician - WC30,1/8/2007 0:00,8/27/1977 0:00,jianshuo0@adventureworks.com,952-555-0178,S,0,M,9.5,1,0,Production,1/8/2007 0:00,,Current
36,586486572,11,Susan,Eaton,W,Stocker,1/8/2007 0:00,3/20/1972 0:00,susan0@adventureworks.com,943-555-0196,S,0,F,9,1,0,Shipping and Receiving,1/8/2007 0:00,,Current
37,337752649,11,Vamsi,Kuppa,N,Shipping and Receiving Clerk,1/8/2007 0:00,4/19/1971 0:00,vamsi0@adventureworks.com,937-555-0137,M,0,M,9.5,1,0,Shipping and Receiving,1/8/2007 0:00,,Current
38,113695504,11,Alice,Ciccu,O,Production Technician - WC50,1/8/2007 0:00,2/27/1972 0:00,alice0@adventureworks.com,333-555-0173,M,0,F,11,1,0,Production,1/8/2007 0:00,,Current
39,276751903,11,Simon,Rapier,D,Production Technician - WC60,1/9/2007 0:00,6/17/1984 0:00,simon0@adventureworks.com,963-555-0134,S,0,M,12.45,1,0,Production,1/9/2007 0:00,,Current
40,630184120,11,Jinghao,Liu,K,Production Supervisor - WC50,1/9/2007 0:00,3/9/1983 0:00,jinghao0@adventureworks.com,794-555-0159,S,0,M,25,1,0,Production,1/9/2007 0:00,,Current
41,545337468,11,Michael,Hines,T,Production Technician - WC20,1/10/2007 0:00,12/19/1978 0:00,michael0@adventureworks.com,218-555-0126,S,0,M,14,1,0,Production,1/10/2007 0:00,,Current
42,713403643,11,Yvonne,McKay,S,Production Technician - WC45,1/10/2007 0:00,5/17/1983 0:00,yvonne0@adventureworks.com,286-555-0189,M,0,F,10,1,0,Production,1/10/2007 0:00,,Current
43,885055826,11,Peng,Wu,J,Quality Assurance Supervisor,1/10/2007 0:00,4/19/1970 0:00,peng0@adventureworks.com,164-555-0164,M,1,M,21.6346,1,0,Quality Assurance,1/10/2007 0:00,,Current
44,441044382,11,Jean,Trenary,E,Information Services Manager,1/12/2007 0:00,1/13/1970 0:00,jean0@adventureworks.com,685-555-0120,S,1,F,50.4808,1,0,Information Services,1/12/2007 0:00,,Current
45,718299860,11,Russell,Hunter,,Production Technician - WC50,1/13/2007 0:00,12/27/1966 0:00,russell0@adventureworks.com,786-555-0144,M,0,M,11,1,0,Production,1/13/2007 0:00,,Current
46,685233686,11,A. Scott,Wright,,Master Scheduler,1/13/2007 0:00,10/19/1962 0:00,ascott0@adventureworks.com,992-555-0194,S,0,M,23.5577,1,0,Production Control,1/13/2007 0:00,,Current
47,295971920,11,Fred,Northup,T,Production Technician - WC40,1/13/2007 0:00,7/27/1983 0:00,fred0@adventureworks.com,818-555-0192,S,0,M,15,1,0,Production,1/13/2007 0:00,,Current
48,95958330,11,Sariya,Harnpadoungsataya,E,Marketing Specialist,1/13/2007 0:00,6/21/1981 0:00,sariya0@adventureworks.com,399-555-0176,S,0,M,14.4231,1,0,Marketing,1/13/2007 0:00,,Current
49,332040978,11,Willis,Johnson,T,Recruiter,1/14/2007 0:00,8/18/1972 0:00,willis0@adventureworks.com,778-555-0141,S,0,M,18.2692,1,0,Human Resources,1/14/2007 0:00,,Current
50,857651804,11,Jun,Cao,T,Production Technician - WC50,1/15/2007 0:00,8/6/1973 0:00,jun0@adventureworks.com,299-555-0113,S,0,M,11,1,0,Production,1/15/2007 0:00,,Current
51,553069203,11,Christian,Kleinerman,E,Maintenance Supervisor,1/15/2007 0:00,2/18/1970 0:00,christian0@adventureworks.com,846-555-0157,M,1,M,20.4327,1,0,Facilities and Maintenance,1/15/2007 0:00,,Current
52,351069889,11,Susan,Metters,A,Production Technician - WC30,1/15/2007 0:00,5/3/1977 0:00,susan1@adventureworks.com,639-555-0164,S,0,F,9.5,1,0,Production,1/15/2007 0:00,,Current
53,370989364,11,Reuben,D'sa,H,Production Supervisor - WC40,1/16/2007 0:00,9/27/1981 0:00,reuben0@adventureworks.com,191-555-0112,M,0,M,25,1,0,Production,1/16/2007 0:00,,Current
54,275962311,11,Kirk,Koenigsbauer,J,Production Technician - WC45,1/16/2007 0:00,3/10/1979 0:00,kirk0@adventureworks.com,669-555-0150,S,0,M,10,1,0,Production,1/16/2007 0:00,,Current
55,36151748,11,David,Ortiz,J,Production Technician - WC60,1/16/2007 0:00,1/30/1979 0:00,david2@adventureworks.com,712-555-0119,M,0,M,12.45,1,0,Production,1/16/2007 0:00,,Current
56,540688287,11,Tengiz,Kharatishvili,N,Control Specialist,1/17/2007 0:00,5/29/1984 0:00,tengiz0@adventureworks.com,910-555-0116,S,0,M,16.8269,1,0,Document Control,1/17/2007 0:00,,Current
57,568596888,11,Hanying,Feng,P,Production Technician - WC20,1/17/2007 0:00,11/16/1968 0:00,hanying0@adventureworks.com,319-555-0139,S,0,M,14,1,0,Production,1/17/2007 0:00,,Current
58,918737118,11,Kevin,Liu,H,Production Technician - WC40,1/18/2007 0:00,1/26/1980 0:00,kevin1@adventureworks.com,714-555-0138,S,0,M,15,1,0,Production,1/18/2007 0:00,,Current
59,801758002,11,Annik,Stahl,O,Production Technician - WC60,1/18/2007 0:00,1/27/1971 0:00,annik0@adventureworks.com,499-555-0125,M,0,M,12.45,1,0,Production,1/18/2007 0:00,,Current
60,415823523,11,Suroor,Fatima,R,Production Technician - WC50,1/18/2007 0:00,3/28/1972 0:00,suroor0@adventureworks.com,932-555-0161,S,0,M,11,1,0,Production,1/18/2007 0:00,,Current
61,363923697,11,Deborah,Poe,E,Accounts Receivable Specialist,1/19/2007 0:00,4/7/1970 0:00,deborah0@adventureworks.com,602-555-0194,M,0,F,19,1,0,Finance,1/19/2007 0:00,,Current
62,674171828,11,Jim,Scardelis,H,Production Technician - WC50,1/20/2007 0:00,10/9/1980 0:00,jim0@adventureworks.com,679-555-0113,M,0,M,11,1,0,Production,1/20/2007 0:00,,Current
63,138280935,11,Carole,Poland,M,Production Technician - WC30,1/20/2007 0:00,11/19/1977 0:00,carole0@adventureworks.com,688-555-0192,M,0,F,9.5,1,0,Production,1/20/2007 0:00,,Current
64,476115505,11,George,Li,Z,Production Technician - WC30,1/22/2007 0:00,5/18/1971 0:00,george0@adventureworks.com,518-555-0199,M,0,M,9.5,1,0,Production,1/22/2007 0:00,,Current
65,502058701,11,Gary,Yukish,W,Production Technician - WC40,1/23/2007 0:00,6/17/1982 0:00,gary0@adventureworks.com,901-555-0125,S,0,M,15,1,0,Production,1/23/2007 0:00,,Current
66,7201901,11,Cristian,Petculescu,K,Production Supervisor - WC10,1/23/2007 0:00,5/13/1978 0:00,cristian0@adventureworks.com,434-555-0133,M,0,M,25,1,0,Production,1/23/2007 0:00,,Current
67,97728960,11,Raymond,Sam,K,Production Technician - WC20,1/24/2007 0:00,4/2/1961 0:00,raymond0@adventureworks.com,226-555-0197,M,0,M,14,1,0,Production,1/24/2007 0:00,,Current
68,525932996,11,Janaina,Bueno,Barreiro Gambaro,Application Specialist,1/24/2007 0:00,3/3/1979 0:00,janaina0@adventureworks.com,623-555-0155,M,1,F,27.4038,1,0,Information Services,1/24/2007 0:00,,Current
69,843479922,11,Bob,Hohman,N,Production Technician - WC50,1/25/2007 0:00,9/16/1973 0:00,bob0@adventureworks.com,611-555-0116,S,0,M,11,1,0,Production,1/25/2007 0:00,,Current
70,370487086,11,Shammi,Mohamed,G,Production Technician - WC40,1/25/2007 0:00,11/5/1974 0:00,shammi0@adventureworks.com,793-555-0179,M,0,M,15,1,0,Production,1/25/2007 0:00,,Current
71,54759846,11,Linda,Moschell,K,Production Technician - WC50,1/26/2007 0:00,8/17/1981 0:00,linda0@adventureworks.com,612-555-0171,M,0,F,11,1,0,Production,1/26/2007 0:00,,Current
72,619308550,11,Mindy,Martin,C,Benefits Specialist,1/26/2007 0:00,12/22/1978 0:00,mindy0@adventureworks.com,522-555-0147,M,0,F,16.5865,1,0,Human Resources,1/26/2007 0:00,,Current
73,121491555,11,Wendy,Kahn,Beth,Finance Manager,1/26/2007 0:00,11/12/1978 0:00,wendy0@adventureworks.com,248-555-0134,S,1,F,43.2692,1,0,Finance,1/26/2007 0:00,,Current
74,420776180,11,Kim,Ralls,T,Stocker,1/27/2007 0:00,6/1/1978 0:00,kim0@adventureworks.com,309-555-0129,S,0,F,9,1,0,Shipping and Receiving,1/27/2007 0:00,,Current
75,604664374,11,Sandra,Re?gui Alayo,,Production Technician - WC30,1/27/2007 0:00,12/6/1969 0:00,sandra0@adventureworks.com,896-555-0168,M,0,F,9.5,1,0,Production,1/27/2007 0:00,,Current
76,778552911,11,Kok-Ho,Loh,T,Production Supervisor - WC50,1/28/2007 0:00,5/30/1974 0:00,kok-ho0@adventureworks.com,999-555-0155,S,0,M,25,1,0,Production,1/28/2007 0:00,,Current
77,435234965,11,Douglas,Hite,B,Production Technician - WC45,1/28/2007 0:00,12/26/1979 0:00,douglas0@adventureworks.com,808-555-0172,M,0,M,10,1,0,Production,1/28/2007 0:00,,Current
78,339712426,11,James,Kramer,D,Production Technician - WC60,1/28/2007 0:00,8/26/1978 0:00,james0@adventureworks.com,119-555-0117,M,0,M,12.45,1,0,Production,1/28/2007 0:00,,Current
79,403414852,11,Sean,Alexander,P,Quality Assurance Technician,1/29/2007 0:00,4/7/1970 0:00,sean0@adventureworks.com,420-555-0173,S,0,M,10.5769,1,0,Quality Assurance,1/29/2007 0:00,,Current
80,368920189,11,Nitin,Mirchandani,S,Production Technician - WC20,1/29/2007 0:00,1/1/1981 0:00,nitin0@adventureworks.com,143-555-0173,S,0,M,14,1,0,Production,1/29/2007 0:00,,Current
81,811994146,11,Diane,Margheim,L,Research and Development Engineer,1/30/2007 0:00,7/6/1980 0:00,diane1@adventureworks.com,815-555-0138,S,1,F,40.8654,1,0,Research and Development,1/30/2007 0:00,,Current
82,330211482,11,Rebecca,Laszlo,A,Production Technician - WC60,1/30/2007 0:00,8/11/1971 0:00,rebecca0@adventureworks.com,314-555-0113,M,0,F,12.45,1,0,Production,1/30/2007 0:00,,Current
83,632092621,11,Rajesh,Patel,M,Production Technician - WC40,2/1/2007 0:00,11/5/1971 0:00,rajesh0@adventureworks.com,373-555-0137,M,0,M,15,1,0,Production,2/1/2007 0:00,,Current
84,264306399,11,Vidur,Luthra,X,Recruiter,2/2/2007 0:00,9/2/1978 0:00,vidur0@adventureworks.com,153-555-0186,S,0,M,18.2692,1,0,Human Resources,2/2/2007 0:00,,Current
85,981597097,11,John,Evans,P,Production Technician - WC50,2/2/2007 0:00,7/1/1972 0:00,john1@adventureworks.com,172-555-0130,S,0,M,11,1,0,Production,2/2/2007 0:00,,Current
86,693325305,11,Nancy,Anderson,A,Production Technician - WC60,2/3/2007 0:00,12/21/1982 0:00,nancy0@adventureworks.com,970-555-0118,M,0,F,12.45,1,0,Production,2/3/2007 0:00,,Current
87,521265716,11,Pilar,Ackerman,G,Shipping and Receiving Supervisor,2/3/2007 0:00,10/11/1966 0:00,pilar0@adventureworks.com,577-555-0185,S,1,M,19.2308,1,0,Shipping and Receiving,2/3/2007 0:00,,Current
88,746373306,11,David,Yalovsky,A,Production Technician - WC30,2/3/2007 0:00,9/4/1975 0:00,david3@adventureworks.com,373-555-0142,S,0,M,9.5,1,0,Production,2/3/2007 0:00,,Current
89,750905084,11,David,Hamilton,P,Production Supervisor - WC40,2/4/2007 0:00,8/2/1977 0:00,david4@adventureworks.com,986-555-0177,S,0,M,25,1,0,Production,2/4/2007 0:00,,Current
90,514829225,11,Laura,Steele,C,Production Technician - WC45,2/4/2007 0:00,1/26/1975 0:00,laura0@adventureworks.com,777-555-0141,S,0,F,10,1,0,Production,2/4/2007 0:00,,Current
91,750246141,11,Margie,Shoop,W,Production Technician - WC60,2/5/2007 0:00,6/20/1980 0:00,margie0@adventureworks.com,818-555-0128,M,0,F,12.45,1,0,Production,2/5/2007 0:00,,Current
92,345106466,11,Zainal,Arifin,T,Document Control Manager,2/5/2007 0:00,3/2/1970 0:00,zainal0@adventureworks.com,204-555-0115,M,0,M,17.7885,1,0,Document Control,2/5/2007 0:00,,Current
93,19312190,11,Lorraine,Nay,O,Production Technician - WC40,2/5/2007 0:00,12/28/1982 0:00,lorraine0@adventureworks.com,845-555-0184,M,0,F,15,1,0,Production,2/5/2007 0:00,,Current
94,212801092,11,Fadi,Fakhouri,K,Production Technician - WC20,2/5/2007 0:00,3/19/1983 0:00,fadi0@adventureworks.com,935-555-0116,S,0,M,14,1,0,Production,2/5/2007 0:00,,Current
95,769680433,11,Ryan,Cornelsen,L,Production Technician - WC40,2/6/2007 0:00,7/15/1966 0:00,ryan0@adventureworks.com,208-555-0114,M,0,M,15,1,0,Production,2/6/2007 0:00,,Current
96,60517918,11,Candy,Spoon,L,Accounts Receivable Specialist,2/7/2007 0:00,3/26/1970 0:00,candy0@adventureworks.com,920-555-0177,S,0,F,19,1,0,Finance,2/7/2007 0:00,,Current
97,431859843,11,Nuan,Yu,,Production Technician - WC50,2/7/2007 0:00,4/29/1973 0:00,nuan0@adventureworks.com,913-555-0184,S,0,M,11,1,0,Production,2/7/2007 0:00,,Current
98,621209647,11,William,Vong,S,Scheduling Assistant,2/8/2007 0:00,12/8/1975 0:00,william0@adventureworks.com,148-555-0145,M,0,M,16,1,0,Production Control,2/8/2007 0:00,10/1/2009 0:00,
99,621209647,11,William,Vong,S,Scheduling Assistant,2/8/2007 0:00,12/8/1975 0:00,william0@adventureworks.com,148-555-0145,M,0,M,16,1,0,Production Control,10/2/2009 0:00,,Current
100,420023788,11,Bjorn,Rettig,M,Production Technician - WC30,2/8/2007 0:00,12/8/1983 0:00,bjorn0@adventureworks.com,199-555-0117,S,0,M,9.5,1,0,Production,2/8/2007 0:00,,Current
101,199546871,11,Scott,Gode,R,Production Technician - WC45,2/9/2007 0:00,3/13/1981 0:00,scott0@adventureworks.com,391-555-0138,M,0,M,10,1,0,Production,2/9/2007 0:00,,Current
102,830150469,11,Michael,Rothkugel,L,Production Technician - WC40,2/11/2007 0:00,2/4/1985 0:00,michael1@adventureworks.com,454-555-0119,S,0,M,15,1,0,Production,2/11/2007 0:00,,Current
103,322160340,11,Lane,Sacksteder,M,Production Technician - WC20,2/12/2007 0:00,10/24/1968 0:00,lane0@adventureworks.com,200-555-0117,M,0,M,14,1,0,Production,2/12/2007 0:00,,Current
104,827686041,11,Pete,Male,C,Production Technician - WC50,2/12/2007 0:00,3/7/1971 0:00,pete0@adventureworks.com,768-555-0123,S,0,M,11,1,0,Production,2/12/2007 0:00,,Current
105,671089628,11,Dan,Bacon,K,Application Specialist,2/12/2007 0:00,7/28/1975 0:00,dan0@adventureworks.com,166-555-0159,M,1,M,27.4038,1,0,Information Services,2/12/2007 0:00,,Current
106,231203233,11,David,Barber,M,Assistant to the Chief Financial Officer,2/13/2007 0:00,7/23/1958 0:00,david5@adventureworks.com,477-555-0132,S,0,M,13.4615,1,0,Finance,2/13/2007 0:00,,Current
107,204035155,11,Lolan,Song,B,Production Technician - WC50,2/13/2007 0:00,2/25/1967 0:00,lolan0@adventureworks.com,582-555-0178,M,0,M,11,1,0,Production,2/13/2007 0:00,,Current
108,992874797,11,Paula,Nartker,R,Production Technician - WC40,2/13/2007 0:00,3/13/1981 0:00,paula1@adventureworks.com,476-555-0119,M,0,F,15,1,0,Production,2/13/2007 0:00,,Current
109,767955365,11,Mary,Gibson,E,Marketing Specialist,2/13/2007 0:00,10/14/1956 0:00,mary0@adventureworks.com,531-555-0183,M,0,F,14.4231,1,0,Marketing,2/13/2007 0:00,,Current
110,342607223,11,Mindaugas,Krapauskas,J,Production Technician - WC50,2/14/2007 0:00,6/7/1972 0:00,mindaugas0@adventureworks.com,637-555-0120,M,0,M,11,1,0,Production,2/14/2007 0:00,,Current
111,45615666,11,Eric,Gubbels,,Production Supervisor - WC20,2/15/2007 0:00,2/20/1979 0:00,eric0@adventureworks.com,260-555-0119,M,0,M,25,1,0,Production,2/15/2007 0:00,,Current
112,295847284,11,Ken,S?hez,J,Chief Executive Officer,2/15/2007 0:00,3/2/1963 0:00,ken0@adventureworks.com,697-555-0142,S,1,M,125.5,1,0,Executive,2/15/2007 0:00,,Current
113,733022683,11,Jason,Watters,M,Production Technician - WC30,2/15/2007 0:00,1/8/1983 0:00,jason0@adventureworks.com,571-555-0179,S,0,M,9.5,1,0,Production,2/15/2007 0:00,,Current
114,381772114,11,Mark,Harrington,L,Quality Assurance Technician,2/16/2007 0:00,5/31/1980 0:00,mark0@adventureworks.com,147-555-0179,S,0,M,10.5769,1,0,Quality Assurance,2/16/2007 0:00,,Current
115,187369436,11,Janeth,Esteves,M,Production Technician - WC45,2/16/2007 0:00,8/25/1966 0:00,janeth0@adventureworks.com,540-555-0191,S,0,F,10,1,0,Production,2/16/2007 0:00,,Current
116,364818297,11,Marc,Ingle,J,Production Technician - WC30,2/17/2007 0:00,11/24/1980 0:00,marc0@adventureworks.com,234-555-0169,M,0,M,9.5,1,0,Production,2/17/2007 0:00,,Current
117,658797903,11,Gigi,Matthew,N,Research and Development Engineer,2/17/2007 0:00,2/21/1973 0:00,gigi0@adventureworks.com,185-555-0186,M,1,F,40.8654,1,0,Research and Development,2/17/2007 0:00,,Current
118,886023130,11,Paul,Singh,R,Production Technician - WC20,2/18/2007 0:00,12/5/1984 0:00,paul1@adventureworks.com,727-555-0112,M,0,M,14,1,0,Production,2/18/2007 0:00,,Current
119,749211824,11,Frank,Lee,T,Production Technician - WC40,2/18/2007 0:00,10/7/1981 0:00,frank0@adventureworks.com,158-555-0191,M,0,M,15,1,0,Production,2/18/2007 0:00,,Current
120,643805155,11,Fran?s,Ajenstat,P,Database Administrator,2/18/2007 0:00,6/17/1969 0:00,fran?s0@adventureworks.com,785-555-0110,S,1,M,38.4615,1,0,Information Services,2/18/2007 0:00,,Current
121,92096924,11,Diane,Tibbott,H,Production Technician - WC50,2/19/2007 0:00,9/10/1983 0:00,diane2@adventureworks.com,361-555-0180,S,0,F,11,1,0,Production,2/19/2007 0:00,,Current
122,72636981,11,Jill,Williams,A,Marketing Specialist,2/19/2007 0:00,7/19/1973 0:00,jill0@adventureworks.com,510-555-0121,M,0,F,14.4231,1,0,Marketing,2/19/2007 0:00,,Current
123,563680513,11,Angela,Barbariol,W,Production Technician - WC50,2/21/2007 0:00,7/1/1985 0:00,angela0@adventureworks.com,150-555-0194,S,0,F,11,1,0,Production,2/21/2007 0:00,,Current
124,584205124,11,Matthias,Berndt,T,Shipping and Receiving Clerk,2/21/2007 0:00,12/13/1967 0:00,matthias0@adventureworks.com,139-555-0120,M,0,M,9.5,1,0,Shipping and Receiving,2/21/2007 0:00,,Current
125,458159238,11,Bryan,Baker,,Production Technician - WC60,2/22/2007 0:00,9/28/1967 0:00,bryan0@adventureworks.com,712-555-0113,S,0,M,12.45,1,0,Production,2/22/2007 0:00,,Current
126,712885347,11,Jeff,Hay,V,Production Supervisor - WC45,2/22/2007 0:00,2/16/1971 0:00,jeff0@adventureworks.com,350-555-0167,M,0,M,25,1,0,Production,2/22/2007 0:00,,Current
127,87268837,11,Eugene,Zabokritski,R,Production Technician - WC30,2/22/2007 0:00,8/15/1981 0:00,eugene0@adventureworks.com,241-555-0191,S,0,M,9.5,1,0,Production,2/22/2007 0:00,,Current
128,969985265,11,Barbara,Decker,S,Production Technician - WC20,2/23/2007 0:00,8/2/1973 0:00,barbara0@adventureworks.com,119-555-0192,M,0,F,14,1,0,Production,2/23/2007 0:00,,Current
129,539490372,11,Chris,Preston,T,Production Technician - WC45,2/23/2007 0:00,1/17/1983 0:00,chris0@adventureworks.com,200-555-0112,M,0,M,10,1,0,Production,2/23/2007 0:00,,Current
